date;BA;BP;F;FDX;GSK;IBM;JNJ;JPM;MCD;MMM;MSFT;PEP;TGT;VZ;BZH
30/01/2006;48.739952;33.463741;5.734555;91.484711;24.78167;54.029572;37.948086;27.013372;22.586832;48.954147;20.400427;37.821007;38.498882;14.166781;362.192993
31/01/2006;48.23159;33.48225;5.668489;90.527092;24.805872;53.811161;37.389267;26.945574;22.580378;49.02153;20.509712;37.519192;38.767956;14.0602;355.746246
01/02/2006;50.568687;32.931244;5.721342;89.265114;24.820396;54.234783;37.597187;27.033701;23.00606;49.318016;20.429575;37.578243;38.760876;14.122367;343.243347
02/02/2006;50.625172;32.232056;5.529749;88.155403;24.641273;53.764805;37.460728;27.108273;22.86417;48.617226;20.16728;37.696342;39.107834;14.006905;334.842926
03/02/2006;50.039124;32.014427;5.457077;88.146408;24.675165;52.930847;37.285294;26.796444;23.199556;47.909706;20.065273;37.624172;38.916649;14.037991;338.79895
06/02/2006;50.229767;32.398739;5.357977;88.235916;24.447628;52.626389;36.940891;26.735428;23.302757;47.956879;19.795696;37.250168;38.944973;14.011342;330.349731
07/02/2006;50.519249;31.255047;5.344764;87.725815;24.355656;52.851433;36.908401;26.613415;23.341454;47.606468;19.628128;37.309212;38.456398;13.98914;318.823639
08/02/2006;50.880867;31.116146;5.437257;89.837921;24.665476;53.614483;38.078041;26.843895;23.451097;47.842319;19.606268;37.584801;38.272293;14.47321;321.656311
09/02/2006;51.058132;31.143913;5.523142;89.095108;25.101173;53.349064;38.045551;26.959139;23.412403;48.597023;19.424124;37.866959;38.22274;14.504291;318.530609
10/02/2006;51.426815;31.199493;5.463683;89.274124;24.941418;53.966198;37.941582;27.06082;23.431742;48.927204;19.44598;38.011295;38.668819;14.735224;314.818787
13/02/2006;51.129025;31.162437;5.417438;90.500237;25.24642;53.375626;38.013069;26.959139;23.451097;49.129353;19.227409;37.794773;38.619247;14.628643;310.813965
14/02/2006;51.554455;31.065199;5.483502;92.809265;25.023722;53.806934;38.370445;27.18284;23.457541;49.661663;19.416834;38.024429;39.249462;14.886217;315.404877
15/02/2006;51.370113;31.116146;5.536355;93.346268;24.993183;53.647682;38.402943;27.331972;23.225359;49.277592;19.650772;37.978497;39.582882;15.165999;314.672302
16/02/2006;51.441006;31.676411;5.542964;93.641586;25.08115;53.687477;38.32497;27.670908;23.457541;49.223682;19.5996;38.516537;38.724529;15.343644;319.849274
17/02/2006;51.731693;31.722725;5.582603;94.017509;25.037167;53.554775;38.383446;27.643799;23.257608;49.708866;19.519184;38.6609;38.525902;15.445783;315.89328
21/02/2006;51.795525;32.042206;5.542964;94.00853;24.934532;53.415428;38.428928;27.58956;22.999613;49.324753;19.402214;38.608421;38.064812;15.254821;316.039795
22/02/2006;52.745636;31.656137;5.483502;95.225708;24.91987;53.979431;38.357456;28.070854;23.186655;49.487511;19.533802;38.713387;38.731617;15.094951;327.419373
23/02/2006;52.398201;31.464741;5.397618;95.521072;25.276632;53.216385;38.071529;27.867487;22.954464;49.941833;19.489939;39.146461;38.667782;15.063856;322.730743
24/02/2006;52.688904;31.558102;5.351372;95.905899;24.973633;53.149994;37.744801;28.240318;22.793224;50.118126;19.468016;39.06773;38.341461;15.015015;319.605072
27/02/2006;52.561295;31.278002;5.338157;97.230476;25.012716;53.501694;37.842827;28.186096;22.735184;49.968964;19.775049;39.048031;39.355869;15.126035;313.109467
28/02/2006;51.540279;31.007238;5.265485;95.977509;24.836796;53.242931;37.672916;27.887829;22.515888;49.901157;19.643463;38.785564;38.589748;14.966161;309.886017
01/03/2006;51.724613;31.362034;5.252271;98.832489;25.115351;53.017303;37.679462;28.219984;22.528778;49.955387;19.840849;38.877422;38.710342;15.18821;311.155853
02/03/2006;51.618275;31.235975;5.060678;97.91069;25.242414;53.043831;37.699051;28.240318;22.53524;49.534977;19.716568;38.897129;38.100285;15.099386;312.083832
03/03/2006;52.036598;31.348017;5.001218;99.790138;25.423258;53.057121;37.555294;28.192869;22.47719;49.419704;19.687319;39.028355;37.873287;14.912867;308.323151
06/03/2006;51.497704;30.913881;5.080498;99.861717;25.477001;53.083672;37.803623;28.084406;22.361101;48.789074;19.672707;39.159576;37.55405;14.979483;305.539276
07/03/2006;51.873531;30.820498;5.054072;100.237579;25.579653;53.276093;38.04541;28.118294;22.341747;49.006058;19.782364;39.21207;37.497314;14.881774;298.408783
08/03/2006;51.632458;30.867186;4.988006;100.040695;26.19055;53.840118;38.385201;28.199648;22.367544;49.080643;19.921267;39.42297;37.859093;14.850694;296.158539
09/03/2006;52.298954;30.815842;5.120139;100.622871;26.390923;53.760487;38.104225;27.826824;22.270798;48.687355;19.738499;39.54158;37.419277;14.912867;291.511108
10/03/2006;53.02927;31.007238;5.179598;100.318321;26.586418;54.125412;38.581261;27.881048;22.3482;49.039967;19.862774;39.765656;37.81654;15.183766;296.941193
13/03/2006;53.064693;31.553425;5.192811;100.595963;26.708586;54.364319;38.607391;27.833609;22.135361;48.883999;19.81892;39.86451;37.852013;15.241496;300.854767
14/03/2006;53.497208;31.992268;5.106925;102.781303;26.850309;54.994663;38.744625;28.050518;22.096664;49.860462;19.906645;39.824974;38.689034;15.272589;318.514679
15/03/2006;53.922665;32.641155;5.186204;103.891838;26.723253;55.326454;39.077888;27.942057;22.425594;50.179176;20.001678;39.581127;38.107365;15.272589;323.553375
16/03/2006;54.404816;32.631824;5.239057;102.557396;26.645048;54.988056;39.221664;28.009846;22.61264;50.782661;19.935884;39.475685;38.107365;15.33032;330.059662
17/03/2006;55.198933;32.459106;5.159778;102.942505;26.620619;55.273365;39.430771;28.064075;22.638432;50.714867;20.104029;39.581127;38.142845;15.281472;332.701324
20/03/2006;55.432903;32.094967;5.239057;102.100616;26.552198;55.459156;39.522259;28.097977;22.399797;50.857258;20.389137;39.449322;37.972591;15.197092;322.721771
21/03/2006;55.489643;31.861546;5.318337;101.402023;26.214983;55.611763;39.58107;27.928505;22.509441;50.809807;20.27948;39.23185;37.852013;15.254821;317.487366
22/03/2006;55.737785;32.057621;5.384404;102.494728;26.390923;56.03643;39.862068;28.504707;22.444937;51.582825;19.848156;39.42297;37.993877;15.459112;315.628418
23/03/2006;55.234383;31.97826;5.338157;101.205025;25.907082;55.207008;39.737907;28.497925;22.277256;52.057484;19.628845;38.968224;37.830719;15.419133;330.695587
24/03/2006;55.822876;32.435757;5.344764;100.139221;26.244303;55.313164;39.463444;28.538595;22.380445;52.07782;19.745811;39.106628;38.100285;15.530163;328.151794
27/03/2006;55.581814;32.459106;5.324943;100.972153;25.999939;55.127373;39.169376;28.54537;22.283695;52.104973;19.745811;38.875973;37.717216;15.512402;326.341797
28/03/2006;54.957851;32.188339;5.371189;100.864685;25.731144;54.696068;38.947205;28.172525;22.128902;51.738789;19.665394;38.513515;37.773968;15.343644;327.760468
29/03/2006;56.141964;32.575809;5.457077;100.148186;25.540552;55.160557;38.888382;28.253883;22.315945;52.593189;19.753119;38.493732;37.809433;15.552367;328.543121
30/03/2006;55.603069;32.571136;5.39101;99.825752;25.721373;55.207008;38.783829;28.152193;22.283695;51.887966;19.906645;38.296024;37.419277;15.316995;322.085815
31/03/2006;55.255646;32.183666;5.258877;101.151253;25.564991;54.722614;38.698887;28.226768;22.161161;51.325153;19.892027;38.085129;36.894356;15.126035;321.400909
03/04/2006;55.312374;32.529121;5.133352;102.709602;25.824007;55.114098;38.666199;28.423351;22.399797;51.426861;20.147898;38.124687;36.305561;15.285914;317.487366
04/04/2006;55.730701;32.818573;5.07389;104.715828;25.706713;55.372906;38.437481;28.888073;22.354647;52.213459;20.206373;38.098324;36.575134;15.365846;319.93335
05/04/2006;56.092319;33.164024;5.001218;105.432358;25.584526;55.850651;38.163029;29.072598;22.451395;52.525391;20.27948;38.151039;37.014931;15.294784;333.875397
06/04/2006;56.595737;32.93528;5.054072;105.862236;25.349939;55.611763;38.228382;28.901741;22.315945;55.183548;20.147898;38.23671;37.327057;15.135258;336.468079
07/04/2006;56.418465;33.103321;5.021039;104.87706;25.15934;54.729252;37.790558;28.498524;22.496542;54.946163;19.921267;38.091724;36.858879;15.184691;332.016418
10/04/2006;57.283512;33.761562;4.968185;105.50399;25.486794;54.477104;37.712143;28.621548;22.799673;54.912285;19.950512;38.282845;36.617699;15.045387;323.210938
11/04/2006;57.127518;33.794235;4.736954;103.94561;25.34016;53.853378;37.738274;28.437029;22.928671;54.783424;19.833534;38.098324;36.312675;14.71284;320.177917
12/04/2006;58.999405;33.733562;4.809628;102.476791;25.428141;53.581318;37.816677;28.635202;22.696476;54.993671;19.884718;38.144447;36.454536;14.838673;315.090302
13/04/2006;58.800861;33.710217;4.855874;102.861893;25.555201;54.397476;37.842827;28.833406;22.47719;54.905502;19.789671;38.137848;36.518387;14.744302;309.611359
17/04/2006;58.389618;34.055687;4.842661;101.464729;25.599186;54.17186;37.672916;28.703554;22.135361;54.424049;19.621523;37.821529;36.341034;14.591506;305.599976
18/04/2006;59.063202;35.050037;4.935153;103.247025;25.819126;55.280003;37.986591;29.113596;22.238552;55.325928;19.899334;38.27626;36.660259;14.919554;326.977783
19/04/2006;60.2402;35.37215;5.021039;103.587357;26.029261;54.31786;37.914707;29.127275;22.283695;55.522545;19.760441;38.27626;36.504192;14.721829;314.601105
20/04/2006;60.623074;34.970673;5.252271;103.247025;25.970627;54.424019;38.04541;29.113596;22.62553;56.010799;19.760441;37.762222;36.603504;14.631948;317.242798
21/04/2006;61.30378;35.619576;4.836055;103.34552;25.907082;54.185131;38.143433;29.045265;22.315945;57.678925;19.848156;37.696312;36.071499;14.613977;316.313263
24/04/2006;61.048538;35.395493;4.598215;103.596329;25.853331;54.483757;38.117275;29.168282;22.096664;57.950172;19.81892;37.742455;36.745384;14.515112;304.817169
25/04/2006;60.346558;34.956669;4.611427;101.903625;25.887533;54.855328;38.038868;28.853907;21.832211;57.509384;19.81892;37.894035;36.944004;14.604985;299.485016
26/04/2006;60.204758;34.424484;4.789806;102.378281;25.936413;55.306549;38.254513;29.154615;21.999918;57.990864;19.811605;38.131268;37.844902;14.865637;299.631775
27/04/2006;59.630451;34.410465;4.756773;103.175377;27.09956;55.65823;38.326393;30.036226;22.328842;57.794205;19.921267;38.27626;37.922947;14.97349;288.869446
28/04/2006;59.169582;34.415142;4.656278;103.112648;27.798437;54.636353;38.300266;31.013504;22.296598;57.929806;17.654991;38.381721;37.667564;14.843164;281.922913
01/05/2006;59.460278;34.732586;4.62948;101.742386;27.661587;54.563366;38.287186;30.603445;22.167604;57.617889;17.757338;38.335567;37.681751;14.735305;280.65097
02/05/2006;60.502563;35.619576;4.62948;103.963509;27.876617;54.689438;38.339462;31.095512;22.193405;57.299187;17.552637;38.19059;38.01516;14.667905;278.253906
03/05/2006;60.885429;35.036026;4.542384;102.261833;27.808207;54.87524;38.130348;31.068172;22.483644;58.24852;16.938555;38.520092;37.9655;14.667905;278.694244
04/05/2006;61.4314;35.134071;4.575882;105.862236;27.847303;54.696068;38.071529;31.225351;22.47719;58.635029;17.135941;38.711208;37.703022;14.739803;275.123108
05/05/2006;62.728958;35.698933;4.642878;106.856339;28.047686;55.260105;38.359074;31.881437;22.709385;59.197872;17.39912;39.001179;38.689034;14.838673;286.178894
08/05/2006;62.105007;35.302124;4.669678;106.632454;27.905945;55.200142;38.365612;31.505554;22.825478;59.760674;17.347948;38.816658;38.809654;14.79373;281.727264
09/05/2006;62.388615;35.605572;4.803672;106.95488;28.287155;55.426563;38.136875;31.450895;23.109262;59.387718;17.267532;38.691425;38.518806;14.762274;277.373413
10/05/2006;63.277954;35.903271;4.729974;105.763718;28.131268;55.206825;38.110752;31.382545;23.193106;59.4352;17.377193;38.777115;38.298904;14.533087;277.275543
11/05/2006;62.758583;35.517628;4.770171;105.02932;28.042696;54.913776;38.450558;30.856314;22.799673;59.109688;16.975107;38.454193;37.894547;14.335358;269.008179
12/05/2006;61.904808;35.103748;4.763474;103.049957;28.047625;54.86718;38.444027;30.289083;22.496542;58.702839;16.938555;38.645309;37.036224;14.285927;264.850037
15/05/2006;61.086639;34.544083;4.776873;103.390297;28.086994;55.200142;39.188995;30.439442;22.55459;59.075798;16.989923;39.350471;35.482704;14.164593;260.153748
16/05/2006;61.470818;34.252491;4.703176;103.381378;28.726658;54.714008;39.371956;30.289083;22.380445;58.831673;16.887186;39.31752;34.993244;14.245479;255.555313
17/05/2006;59.599663;33.12376;4.62948;98.446495;28.032858;54.12133;39.293552;29.557817;22.290146;57.550076;16.68169;39.310925;34.616508;13.84553;248.51091
18/05/2006;58.859726;32.850975;4.622781;97.846405;27.855719;53.715099;39.300072;29.209272;22.212755;57.366016;16.755081;38.678265;34.417488;13.665771;249.929581
19/05/2006;60.197285;33.311882;4.709875;97.927048;27.77206;53.462051;39.143246;29.216114;22.025713;57.475075;16.556927;38.618942;34.943478;13.885975;248.364166
22/05/2006;60.979904;33.010883;4.622781;98.56295;27.486668;53.288895;39.117104;29.140951;21.948311;57.079681;16.791771;39.060486;34.922153;13.836545;245.771423
23/05/2006;60.581478;33.274246;4.589281;96.440323;27.49159;53.162369;39.208588;28.819729;21.625834;56.881992;16.725718;39.363647;34.92926;13.872493;246.554138
24/05/2006;58.610722;32.705189;4.642878;96.117874;27.068417;53.129066;39.724838;28.80607;21.251741;57.141056;17.246796;39.778839;34.815536;13.818564;249.538223
25/05/2006;59.044708;33.683426;4.790272;96.476135;27.393162;53.368813;39.747841;29.284456;21.451689;56.759293;17.422937;39.910645;34.843975;13.998322;249.19577
26/05/2006;59.407574;33.683426;4.897466;96.270172;27.393162;53.775032;39.905651;29.544157;21.232393;57.175137;17.408262;39.976543;34.723125;14.15111;251.641754
30/05/2006;58.432835;32.996761;4.676377;96.108925;27.078259;53.382126;39.353336;29.004251;21.103403;56.89563;16.989923;39.818375;34.602306;13.890464;243.178696
31/05/2006;59.229698;33.25074;4.796971;97.864334;27.211105;53.208981;39.596619;29.140951;21.393646;57.031971;16.622976;39.844738;34.772888;14.025287;243.374359
01/06/2006;59.507195;33.429455;4.84387;99.727226;27.545712;53.735073;39.87936;29.783348;21.722572;57.611465;16.747738;40.266521;35.021671;14.362319;247.630371
02/06/2006;59.62101;33.815113;4.756773;99.530228;27.550629;52.955944;39.93853;29.940536;21.612932;57.795479;16.703709;39.983139;34.964809;14.353339;242.444885
05/06/2006;58.432835;33.307175;4.656278;96.494057;27.457148;52.649574;39.537437;29.366455;21.380745;56.547962;16.51289;39.376835;34.43882;14.178076;231.878281
06/06/2006;57.379879;32.949741;4.622781;96.968712;27.304607;53.115757;40.070049;28.963261;21.483936;56.077572;16.24135;39.884285;33.834602;14.245479;223.855515
07/06/2006;57.956173;32.234882;4.549084;96.502991;27.555553;52.709511;40.221268;28.874405;21.490383;54.768688;16.175301;39.93726;34.758671;14.30839;225.127396
08/06/2006;57.764084;32.065575;4.461987;96.592628;27.260328;51.297714;40.477715;28.942741;21.729027;55.729908;16.226664;39.824673;35.071442;14.227509;227.137466
09/06/2006;57.27317;31.73634;4.528985;95.525955;26.891266;51.697277;40.35936;28.771898;21.529087;54.925495;16.087221;39.692204;34.410381;14.155606;231.942017
12/06/2006;55.409096;31.261333;4.535684;94.208282;26.600956;51.291065;40.35936;28.430182;21.238852;54.645969;15.9331;39.553112;34.268208;14.079211;224.146866
